number,points,Title,day/time,Room/building,Faculty
60784,3,INTRO TO INFORMATION SCIENCE,TR 11:40am-12:55,627 Seeley W. Mudd,"   Agarwal, Apoorv"
16448,3,INTRO-COMPUT SCI/PROG IN JAVA,MW 4:10pm-5:25pm,309 Havemeyer Hall,"Cannon, Adam H"
79698,3,INTRO-COMPUT SCI/PROG-MATLAB,    MW 10:10am-11:25,  833 Seeley W. Mudd,"   Blaer, Paul S"
13542,3,INTRO TO COMP FOR ENG/APP SCI,   MW 2:40pm-3:55pm,  633 Seeley W. Mudd,"   Cannon, Adam H"
26286,3,OBJECT-ORIENTED PROG/DES(JAVA),  TR 4:10pm-5:25pm,  833 Seeley W. Mudd,"   Sheth, Swapneel K"
92101,1,  EMERGING SCHOLARS PROG SEMINAR,,,"Cannon, Adam H"
78300,1, PROGRAMMING LANG:RUBY ON RAILS,  M 6:10pm-8:00pm,   825 Seeley W. Mudd,"Stolfo, Emily"
27952,1, PROGRAMMING LANG: (JAVA),        T 4:10pm-6:00pm,   253 Engineering Ter,"  Isukapalli, Ramana"
75517,3, DATA STRUCTURES IN JAVA,         TR 10:10am-11:25,  309 Havemeyer Hall,"   Hershkop, Shlomo"
93401,4,  ESSENTIAL DATA STRUCTURES,       TR 5:40pm-6:55pm,  417 Mathematics Bui,"  Lee, Jae W"
24707,4, ADVANCED PROGRAMMING,            TR 4:10pm-5:25pm,  301 Pupin Laborator,"  Lee, Jae W"
20958,3,  COMBINATORICS/GRAPH THEORY,      MW 5:40pm-6:55pm,  501 NORTHWEST CO,"     Strickland, Dawn M"
17546,3, SCIENTIFIC COMPUTATION,          TR 1:10pm-2:25pm,  644 Seeley W. Mudd,"   Traub, Joseph F"
62897,3,  COMPUTER SCIENCE THEORY ,        TR 11:40am-12:55,  501 NORTHWEST CO,"     Choi, Seung G"
78400,3, FUNDAMENTALS OF COMPUTER,        MW 1:10pm-2:25pm,  501 NORTHWEST CO,"     Rubenstein, Daniel S"
78400,3, FUNDAMENTALS OF COMPUTER SYSTS,  MW 1:10pm-2:25pm,  501 NORTHWEST CO,"     Rubenstein, Daniel S"
85037,3, INTRODUCTION TO DATABASES,       W 1:10pm-3:40pm,   1127 Seeley W. Mudd,"  Biliris, Alexandros"
63043,3, DATABASE SYSTEM IMPLEMENTATION,  MW 1:10pm-2:25pm,  535 Seeley W. Mudd,"   Ross, Kenneth A"
93458,3,PROGRAMMING LANG & TRANSLATORS,  MW 2:40pm-3:55pm,  535 Seeley W. Mudd,"   Aho, Alfred"